GEOGRAPHY_CODE,YEAR,HOUSEHOLDS,CUM_HOUSEHOLDS,D_JOBS,CUM_D_JOBS
E06000056,2027,4493.14588477834,35876.3958069011,1346.24184047197,10762.870777716
E07000012,2027,4493.14588477834,35876.3958069011,1346.24184047197,10762.870777716
E07000011,2027,4493.14588477834,35876.3958069011,1346.24184047197,10762.870777716
E06000030,2028,-174.325230661717,-1542.85352365145,-17.9060820386281,-158.476553641849
E06000032,2028,-180.982054946497,-1527.39673011575,-18.5898479014785,-156.888885511115
E06000042,2028,-309.733801441363,-2904.24799143919,4391.79274822674,39514.1534903699
E06000055,2028,-222.871314260756,-2055.278864905,-22.8925670831557,-211.111104385473
E07000008,2028,-44.9610832059402,-41.7796989735736,4418.9892819489,39808.176288351
E07000009,2028,-76.5676911115963,-729.455849050011,-7.86476721326183,-74.9271704793739
E07000099,2028,-130.536236383489,-1197.76299820922,-13.4082286816662,-123.03005381009
E07000151,2028,-71.3876058528084,-709.245842148943,-7.33268685255411,-72.8512687857513
E07000154,2028,-225.475697925315,-2012.94257872899,-23.160080324817,-206.762468157654
E07000155,2028,-92.1764221008963,-870.417113605591,-9.46804183135566,-89.4062218353934
E07000156,2028,-64.4064932954796,-588.288383664556,-6.61561122501629,-60.426938890509
E07000177,2028,-99.22084193055,-922.587732343306,-10.1916201619594,-94.7650065367101
E07000178,2028,-53.9184162480875,-188.453863463636,4418.06921581911,39793.110427762
E07000179,2028,-89.2834089539218,-868.641667613016,-9.17088157204083,-89.2238541914354
E07000180,2028,-108.627785804762,-1105.68786774405,-11.1578687543463,-113.572416303641
E07000181,2028,-55.9545848438501,-546.586720594015,-5.74746055317502,-56.1434889432243
E07000242,2028,-163.495811137803,-1570.23844088229,-16.7937216895848,-161.289437196886
E07000243,2028,-77.0658805852805,-652.830018606682,-7.91593950514815,-67.0564313959487
E07000004,2028,8494.75905555799,76419.2771599039,2641.99514828507,23774.5097493259
E06000056,2028,4488.74376837738,40365.1395752785,1345.78967036946,12108.6604480854
E07000012,2028,4488.74376837738,40365.1395752785,1345.78967036946,12108.6604480854
E07000011,2028,4488.74376837738,40365.1395752785,1345.78967036946,12108.6604480854
E06000030,2029,-171.119557108543,-1713.97308075999,-17.5768063886588,-176.053360030508
E06000032,2029,-174.589570823325,-1701.98630093907,-17.9332341416363,-174.822119652751
E06000042,2029,-300.658897750598,-3204.90688918978,4392.72489080509,43906.878381175
E06000055,2029,-222.737722996289,-2278.01658790129,-22.8788450526034,-233.989949438077
E07000008,2029,-45.2941569775071,-87.073855951081,4418.95506976828,44227.1313581193
E07000009,2029,-74.4511610395303,-803.907010089541,-7.64736459768073,-82.5745350770546
E07000099,2029,-133.391523564097,-1331.15452177331,-13.7015138607865,-136.731567670876
E07000151,2029,-69.278569294605,-778.524411443548,-7.11605394468239,-79.9673227304337
E07000154,2029,-213.174448918977,-2226.11702764796,-21.8965387648892,-228.659006922542
E07000155,2029,-88.1407772876157,-958.557890893208,-9.05351441710205,-98.4597362524956
